en,ru,level,source,source_url
world,мир,A1,WikDict,https://en.wiktionary.org/wiki/world
country,страна,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
city,город,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
town,город,A1,WikDict,https://en.wiktionary.org/wiki/town
road,дорога,A1,WikDict,https://en.wiktionary.org/wiki/road
street,улица,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
place,место,A1,WikDict,https://en.wiktionary.org/wiki/place
park,парк,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
beach,пляж,A1,WikDict,https://en.wiktionary.org/wiki/beach
island,остров,A1,WikDict,https://en.wiktionary.org/wiki/island
farm,ферма,A1,WikDict,https://en.wiktionary.org/wiki/farm
south,юг,A1,WikDict,https://en.wiktionary.org/wiki/south
west,запад,A1,WikDict,https://en.wiktionary.org/wiki/west
left,слева,A1,WikDict,https://en.wiktionary.org/wiki/left
back,спина,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
email,электронная почта,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
quarter,четверть,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
light,свет,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
pair,пара,A1,WikDict,https://en.wiktionary.org/wiki/pair
piece,кусок,A1,WikDict,https://en.wiktionary.org/wiki/piece
point,пункт,A1,WikDict,https://en.wiktionary.org/wiki/point
book,книга,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
bag,сумка,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
box,коробка,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
cup,чашка,A1,WikDict,https://en.wiktionary.org/wiki/cup
glass,бокал,A1,WikDict,https://en.wiktionary.org/wiki/glass
bottle,бутылка,A1,WikDict,https://en.wiktionary.org/wiki/bottle
key,ключ,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
north,север,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
clock,часы,A1,WikDict,https://en.wiktionary.org/wiki/clock
pen,ручка,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
east,восток,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
pencil,карандаш,A1,WikDict,https://en.wiktionary.org/wiki/pencil
paper,бумага,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
card,карта,A1,WikDict,https://en.wiktionary.org/wiki/card
letter,письмо,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
map,карта,A1,WikDict,https://en.wiktionary.org/wiki/map
picture,картина,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
photo,фотография,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
photograph,фотоснимок,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
painting,картина,A1,WikDict,https://en.wiktionary.org/wiki/painting
line,линия,A1,WikDict,https://en.wiktionary.org/wiki/line
page,страница,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
note,заметка,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
list,список,A1,WikDict,https://en.wiktionary.org/wiki/list
chart,диаграмма,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
ticket,билет,A1,WikDict,https://en.wiktionary.org/wiki/ticket
passport,паспорт,A1,WikDict,https://en.wiktionary.org/wiki/passport
money,деньги,A1,Vocoby starter,https://vocabden.com/en/english-a1-word-list
cent,цент,A1,WikDict,https://en.wiktionary.org/wiki/cent
dollar,доллар,A1,WikDict,https://en.wiktionary.org/wiki/dollar
pound,фунт,A1,WikDict,https://en.wiktionary.org/wiki/pound
euro,евро,A1,WikDict,https://en.wiktionary.org/wiki/euro
bill,счёт,A1,WikDict,https://en.wiktionary.org/wiki/bill
phone,телефон,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
camera,фотоаппарат,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
radio,радио,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
tv,телевизор,A1,Vocoby,https://vocabden.com/en/english-a1-word-list
television,телевизор,A1,WikDict,https://en.wiktionary.org/wiki/television
video,видео,A1,WikDict,https://en.wiktionary.org/wiki/video
